"Gene.Symbol","P.Value","adj.P.Val","logFC"
"PRR36",0.252676791665545,0.388527101659664,0.337000036359049
"PRRC1",0.000964317834924626,0.00512508509595729,-0.416037424775089
"PRRC2A",0.0263738646004214,0.0704104601296988,-0.377507466089027
"PRRC2B",0.703095492521195,0.79563504072017,0.0646823988294187
"PRRC2C",0.703910207946185,0.796266675203502,0.0516382408874159
"PRRG1",0.079309221924708,0.163907087101202,-0.288878399448601
"PRRG2",0.00808072632387398,0.027967170343488,-0.459269974107917
"PRRG4",0.129884891677205,0.238007277593405,0.303893621492452
"PRRT1",0.401886191291759,0.544071878017693,-0.118386516150632
"PRRT2",0.244147954109913,0.378817446493876,0.361235757590721
"PRRT3",0.00301690721024037,0.0127365024471491,-0.61330316499581
"PRRT4",0.892245934330452,0.930812359160681,-0.017065363904998
"PRRX1",0.00441050164226767,0.0171976319061186,-0.828296054245666
"PRRX2",0.00238824598748757,0.0105743764564393,-0.743468245012954
"PRSS3",0.571581196066759,0.692870411365107,0.132151363804326
"PRSS8",8.90750997718851e-06,0.000116458001125517,-1.81804567136431
"PRSS12",0.0509533453671267,0.1167821222751,0.240663285448595
"PRSS16",0.233582269460953,0.366899113336491,0.325737711021903
"PRSS21",0.139410332095143,0.25101623666139,-0.376551606054373
"PRSS22",6.51880996292558e-05,0.000577204792392428,-1.03246327490023
"PRSS23",0.000225940883147313,0.00155562403086209,-0.986854198739406
"PRSS27",0.053885578309627,0.121973496176648,-0.434389080676626
"PRSS35",0.157589713966651,0.274235789532234,-0.368200999847957
"PRSS36",0.486724583145807,0.618833262808437,-0.0554745018772999
"PRSS53",3.11947090960849e-05,0.000316826368103496,0.7548234402831
"PRTFDC1",0.00420453360279257,0.0165777837860106,0.551542461338552
"PRTG",0.820100553036077,0.883583760244854,-0.0174374984613481
"PRTN3",0.20121292672809,0.328558860468563,-0.509383986713777
"PRUNE1",0.701513494098039,0.794656052183027,-0.0468714142341748
"PRUNE2",0.623015266782263,0.734845433445379,-0.16624170738055
"PRX",0.21128771040332,0.34060184665515,-0.131609936649015
"PSAP",0.000265858972936432,0.00177843684526928,-0.687766617485129
"PSAT1",0.666326810789195,0.769246549448495,-0.115638199623853
"PSCA",4.40329160878698e-05,0.000418461007206155,-2.68249077294493
"PSD",7.58307864539437e-07,1.50104333543208e-05,0.930469924786488
"PSD3",0.00010989747428471,0.000863543748569324,0.724361194323818
"PSD4",5.22407314527125e-07,1.10603534981534e-05,-0.949266685681535
"PSEN1",0.460180733875484,0.59671998738416,-0.0716677875212945
"PSEN2",3.54472166708552e-05,0.000350832497139669,-0.642435597195505
"PSENEN",0.541806217711189,0.666795455405229,-0.101140325945249
"PSIP1",1.82814446697108e-11,1.9432173960907e-09,1.21289490241412
"PSKH1",5.11767935598855e-07,1.08647422606821e-05,-0.727385841479695
"PSMA1",0.402204044241219,0.544208063639548,-0.119892867907063
"PSMA2",0.234609122524887,0.367845665965729,-0.253662180579494
"PSMA3",0.737152618876159,0.821754528523162,0.0557855748733355
"PSMA4",0.103833552813967,0.201550082066285,-0.27254450610461
"PSMA5",0.0919646790559804,0.183846432341847,-0.27680696909033
"PSMA6",0.527029666114493,0.654894177951063,-0.124138480903723
"PSMA7",0.135929095813556,0.246226193583178,-0.239503925228971
"PSMB1",0.127883013519385,0.235590751045505,-0.258231782498354
"PSMB2",0.234157421451995,0.367430639384581,-0.151333384056036
"PSMB3",0.13819616370211,0.249408799220031,-0.261567143957831
"PSMB4",0.00291871728083855,0.0124165497481725,-0.478888766509921
"PSMB5",0.00459114056954756,0.0177238583330369,-0.48177624831416
"PSMB6",0.101788989546466,0.198727705198392,-0.264803152617278
"PSMB7",0.415845789721133,0.556248547811085,-0.126929776398793
"PSMB8",0.885421793644889,0.926683356863706,-0.0418146839311518
"PSMB9",0.568242480169043,0.689914373153545,-0.175023226145898
"PSMB10",0.0361960917961041,0.0898907262896048,-0.397175418454964
"PSMC1",0.0754375843917796,0.157650938887157,-0.27083519695585
"PSMC2",0.000275236101538932,0.00183085686231577,-0.474986342323059
"PSMC3",0.306280686977132,0.447357174700999,-0.133483657444551
"PSMC3IP",0.000194226439644233,0.00137257483168752,0.57595712303715
"PSMC4",0.771066894231969,0.84776387754771,-0.0364204060190882
"PSMC5",0.681304811013928,0.780041404168884,-0.0549959987415788
"PSMC6",0.0980093029917593,0.192903406025363,0.251292701143579
"PSMD1",0.0443851806412453,0.105034098562288,-0.226241767110803
